ActorAppear,ActorIndicator,Coef,Variable
3,1,-0.00683442318516,Colin Hanks
2,1,0.00252296226917,Common
1,1,0.0213344352415,Cory Hardrict
1,1,-0.0257073127359,Cory Monteith
1,1,-0.00898857002367,Courtney Gains
2,1,0.00242189516466,Craig T. Nelson
1,1,-0.0590570375976,Cress Williams
1,1,0.0330206234984,Crystal Hunt
1,1,-0.0179364542671,Cuba Gooding Jr.
2,1,0.057317240181,Cynthia Nixon
1,1,0.00365461155971,Da'Vone McDonald
1,1,-0.0305300003398,Dabney Coleman
1,1,0.0388293812648,Damon Wayans
1,1,0.024088912828,Dan Aykroyd
2,1,0.0130551299096,Dan Byrd
1,1,0.0115561588004,Dan Fogler
1,1,0.012698087987,Dan Hedaya
1,1,0.0358704508862,Dan McMillan
1,1,0.0393493480346,Dan Warry-Smith
1,1,0.109979999939,Dan'l Linehan
1,1,0.0365306895131,Dana DeVestern
1,1,0.0542025098407,Dana Eskelson
1,1,0.00573770455594,Dana Ivey
2,1,-0.0126460905112,Dane Cook
1,1,0.0419144650819,Daniel Clark
1,1,0.0213344352415,Daniel Rindress-Kay
1,1,0.0539761015352,Daniel Scott Lumpkin Jr.
1,1,0.0358704508862,Daniel Stewart Sherman
2,1,-0.0084926227303,Daniel Sunjata
1,1,-0.0129500324164,Danielle Skraastad
1,1,-0.0406001938803,Danneel Ackles
1,1,0.00199079720975,Danny DeVito
1,1,-0.0453250336923,Danny Jones
1,1,0.0479754568327,Danny Masterson
1,1,-0.0433597662519,Danny McBride
1,1,0.0330206234984,Danny Strong
1,1,-0.031308141202,Danny Woodburn
1,1,0.0520945724721,Darby Stanchfield
1,1,0.023396279728,Dario Conti
1,1,0.0388293812648,Daryl Hannah
1,1,0.00207850886637,Daryl Mitchell
1,1,-0.0305300003398,Dave Chappelle
1,1,0.0213344352415,Dave Franco
1,1,0.0224767612661,Dave Matthews
1,1,-0.0397289250784,David Agranov
1,1,-0.0590570375976,David Arquette
1,1,0.109979999939,David Bailey
1,1,-5.23835887149e-05,David Bower
1,1,0.0100345857578,David Burdick
2,1,-0.00303957765419,David Cross
1,1,-0.135156754665,David Eigenberg
1,1,0.00573770455594,David Haig
1,1,0.0431747816582,David Koechner
1,1,0.00207850886637,David Krumholtz
1,1,0.0280309143383,David Leo Schultz
1,1,0.00329677039842,David Marshall Grant
1,1,-0.0397289250784,David Moscow
2,1,0.032089997278,David Paymer
1,1,-0.0397289250784,David Rasche
1,1,-0.0223231745057,David Roberts
1,1,0.0134517963822,David Smigelski
1,1,0.0485591539921,David Sparrow
1,1,0.0217092876534,David Younger
3,1,-0.0352901676568,Dax Shepard
1,1,0.0438122486131,Dayo Okeniyi
1,1,-0.0167379467732,DeRay Davis
1,1,-0.025959502123,Dean Collins
1,1,0.0153898479392,Dean Winters
1,1,0.010927691679,Deborah Foreman
1,1,-0.0413175479933,Deborah Theaker
1,1,0.00662602136368,Debra Jo Rupp
2,1,0.0139131015271,Debra Messing
1,1,-0.0171277699037,Deirdre O'Connell
1,1,-0.0278237079298,Delta Burke
1,1,0.0115561588004,Demetri Martin
1,1,-0.00851471786943,Denis O'Hare
1,1,-0.0171277699037,Dennis Farina
4,1,-0.0164434052618,Dennis Quaid
3,1,0.0012545238725,Dermot Mulroney
1,1,-0.00694401008564,Diana Maria Riva
1,1,0.0431747816582,Diana Scarwid
3,1,0.00366776235554,Diane Keaton
1,1,0.059001599908,Dina Spybey-Waters
1,1,0.0186620506909,Diora Baird
1,1,0.0165201517366,Dominique McElligott
1,1,0.059001599908,Donal Logue
1,1,0.012698087987,Donald Faison
1,1,-0.0223231745057,Donald Sutherland
1,1,-0.0175808978571,Donna Bullock
1,1,-0.00172598878065,Donna Murphy
2,1,-0.063963025726,Dorian Missick
1,1,-0.182101129094,Douglas Booth
1,1,0.0368075160441,Dougray Scott
5,1,0.0551123906064,Drew Barrymore
1,1,-0.0654124719005,Dustin Hoffman
1,1,-0.071547625649,Dwayne Adway
1,1,-0.006391955101,Dwight Howard
1,1,0.0101476756887,Dwight Yoakam
1,1,0.00491652954276,Dylan Moran
1,1,0.0388081392003,Ebon Moss-Bachrach
2,1,0.0226972881681,Ed Begley Jr.
1,1,-0.278561742851,Eddie Griffin
1,1,0.0520945724721,Eddie Jemison
1,1,0.00472245506918,Eddie Kaye Thomas
1,1,0.0279367716832,Edward Andrews
2,1,0.0874425432756,Edward Burns
2,1,0.0628263525804,Edward Herrmann
1,1,0.0756663821998,Edward Norton
1,1,-0.031308141202,Efren Ramirez
1,1,-0.0260771789222,Eileen Atkins
1,1,0.0419144650819,Eileen Pedde
1,1,-0.00230429445978,Elaine Kao
1,1,-0.0245452989607,Elden Henson
1,1,0.0561317686361,Eli Wallach
2,1,0.103235645413,Elijah Wood
1,1,-0.0327764714097,Elinor Donahue
1,1,0.012698087987,Elisa Donovan
1,1,-0.0720567028227,Elisabeth Moss
1,1,0.005458894814,Elisabeth Waterston
1,1,-0.0175808978571,Elisha Cuthbert
1,1,-0.0153995816955,Eliza Coupe
2,1,-0.0273971549094,Elizabeth Banks
1,1,0.010927691679,Elizabeth Daily
1,1,0.0109366130341,Elizabeth Reaser
2,1,-0.000381362163836,Ellen Albertini Dow
1,1,0.0273339918614,Ellen Barkin
1,1,0.00647871179265,Ellen Greene
1,1,0.0419144650819,Ellen Page
1,1,-0.0175808978571,Emile Hirsch
1,1,0.0276925736014,Emilio Mignucci
2,1,0.00781695030525,Emily Blunt
1,1,0.0393493480346,Emily Hampshire
1,1,0.00999267295568,Emily Nelson
1,1,0.0561317686361,Emma Pritchard
4,1,-0.0228736148531,Emma Stone
1,1,0.0212340419328,Emma Thompson
1,1,-0.0521402423744,Emmanuelle Vaugier
1,1,0.109979999939,Eric Axen
3,1,0.0085397155315,Eric Christian Olsen
1,1,-0.0232487229898,Eric Dane
1,1,-0.0128869784043,Eric Silver
1,1,0.0103580009594,Eric Winter
1,1,0.0406992996492,Erik Palladino
1,1,-0.0219629885928,Erin-Marie Dykeman
1,1,-0.0264025349399,Ernie Hudson
1,1,0.0457947015878,Ester Dean
2,1,0.0317107296255,Ethan Embry
2,1,0.0532816090613,Eugene Levy
1,1,-0.0413175479933,Eva Longoria
1,1,0.0275488193741,Eva Mendes
1,1,-0.135156754665,Evan Handler
1,1,-0.0255998618733,Evelina Turen
1,1,-0.0223231745057,Ewen Bremner
1,1,-0.0277896195826,Faith Prince
1,1,-0.0453250336923,Faizon Love
1,1,0.0719074844149,Falk Hentschel
1,1,-0.0532454772769,Fatso-Fasano
1,1,-0.013978630994,Faye Grant
1,1,0.0126244592244,Felicity Huffman
1,1,-0.0396131181276,Felicity Montagu
1,1,-0.182101129094,Felix Dayan
1,1,0.00999536838292,Ferron Guerreiro
1,1,-0.00821301519122,Fiona Choi
1,1,0.0542025098407,Fiona Lane
1,1,0.0479754568327,Fionnula Flanagan
1,1,-0.00694401008564,Forest Whitaker
2,1,-0.0757685725279,Frances Conroy
1,1,0.0436936130405,Frances Fisher
2,1,0.102806511544,Frances McDormand
1,1,-9.41541401215e-05,Frank Harper
1,1,0.0275698173712,Frankie Faison
1,1,0.0172399237751,François Cluzet
1,1,-0.0292626631656,Fred Armisen
1,1,0.0155674773307,Fred Ewanuick
1,1,0.0419202454156,Fred Savage
2,1,-0.055528974551,Fred Ward
4,1,-0.292299247816,Fred Willard
4,1,-0.0795968956987,Freddie Prinze Jr.
2,1,-0.0253475956208,Gabriel Macht
1,1,0.00207850886637,Gabrielle Union
1,1,0.023396279728,Gael García Bernal
1,1,0.0396227128465,Gailard Sartain
1,1,-0.0590570375976,Garry Marshall
1,1,0.0121652567063,Gary Cole
1,1,0.0261208512976,Gary Owen
1,1,0.0134517963822,Gay Thomas Wilson
1,1,0.0279367716832,Gedde Watanabe
1,1,-0.0396131181276,Gemma Jones
1,1,-0.0109512691031,Geoff Pierson
1,1,0.0285171953241,Geoffrey Arend
1,1,-0.0020005954961,Geoffrey Rush
1,1,0.00647871179265,George Clooney
2,1,-0.0716156343231,George Segal
1,1,0.0103105561398,George Touliatos
1,1,-0.00172598878065,Georgina Chapman
4,1,-0.0258576154613,Gerard Butler
1,1,0.00875183152264,Gerry Bednob
1,1,0.037357789228,Gerry Robert Byrne
1,1,0.0155674773307,Giacomo Beltrami
1,1,0.0153898479392,Gina Gershon
2,1,0.00121398760321,Ginnifer Goodwin
1,1,-0.0697007302819,Gio Perez
1,1,0.023396279728,Giordano Formenti
1,1,-0.0521402423744,Glenn Fitzgerald
1,1,0.0415856785183,Glenn Walker Harris Jr.
1,1,-0.00883208340067,Glynis Johns
1,1,0.0240182133801,Goldie Hawn
1,1,-0.0167379467732,Grace Zabriskie
1,1,0.0180952659221,Grant Goodman
3,1,0.0806139105775,Greg Kinnear
1,1,0.0212340419328,Gregor Fisher
1,1,0.0313107746394,Gregory Itzin
1,1,-0.0278817281698,Greta Gerwig
